# Gross electricity production by detailed fuel, TWh (converted from GWh).
# Source: Eurostat, nrg_bal_peh "Production of electricity and derived heat by type of fuel",
#   indicator GEP (gross electricity production). (c) European Union; reuse permitted with attribution.
#   https://ec.europa.eu/eurostat/databrowser/view/nrg_bal_peh
# Trimmed by data/stage-energy-sources.mjs.
entity,year,fuel,subfuel,twh
france,1995,bio,bio-solid,1.368
france,1995,coal,coal-anthr,0
france,1995,coal,coal-bitum,22.142
france,1995,coal,coal-coking,0
france,1995,coal,coal-lignite,2.037
france,1995,coal,coal-subbit,0
france,1995,otherren,or-geo,0
france,1995,otherren,or-tidal,0.5074
france,1996,bio,bio-solid,1.38
france,1996,coal,coal-anthr,0
france,1996,coal,coal-bitum,26.038
france,1996,coal,coal-coking,0
france,1996,coal,coal-lignite,2
france,1996,coal,coal-subbit,0
france,1996,otherren,or-geo,0
france,1996,otherren,or-tidal,0.4907
france,1997,bio,bio-solid,1.53
france,1997,coal,coal-anthr,0
france,1997,coal,coal-bitum,20.618
france,1997,coal,coal-coking,0
france,1997,coal,coal-lignite,1.56
france,1997,coal,coal-subbit,0
france,1997,otherren,or-geo,0
france,1997,otherren,or-tidal,0.5095
france,1998,bio,bio-solid,1.476
france,1998,coal,coal-anthr,0
france,1998,coal,coal-bitum,31.77
france,1998,coal,coal-coking,0
france,1998,coal,coal-lignite,1.762
france,1998,coal,coal-subbit,0
france,1998,otherren,or-geo,0
france,1998,otherren,or-tidal,0.5217
france,1999,bio,bio-solid,1.401
france,1999,coal,coal-anthr,0
france,1999,coal,coal-bitum,28.371
france,1999,coal,coal-coking,0
france,1999,coal,coal-lignite,0.908
france,1999,coal,coal-subbit,0
france,1999,otherren,or-geo,0
france,1999,otherren,or-tidal,0.515
france,2000,bio,bio-solid,1.09
france,2000,coal,coal-anthr,0
france,2000,coal,coal-bitum,26.595
france,2000,coal,coal-coking,0
france,2000,coal,coal-lignite,0.409
france,2000,coal,coal-subbit,0
france,2000,otherren,or-geo,0
france,2000,otherren,or-tidal,0.5073
france,2001,bio,bio-solid,1.044
france,2001,coal,coal-anthr,0
france,2001,coal,coal-bitum,20.077
france,2001,coal,coal-coking,0
france,2001,coal,coal-lignite,0.401
france,2001,coal,coal-subbit,0
france,2001,otherren,or-geo,0
france,2001,otherren,or-tidal,0.4849
france,2002,bio,bio-solid,1.109
france,2002,coal,coal-anthr,0
france,2002,coal,coal-bitum,23.413
france,2002,coal,coal-coking,0
france,2002,coal,coal-lignite,0.245
france,2002,coal,coal-subbit,0
france,2002,otherren,or-geo,0
france,2002,otherren,or-tidal,0.4944
france,2003,bio,bio-solid,1.133
france,2003,coal,coal-anthr,0
france,2003,coal,coal-bitum,26.26
france,2003,coal,coal-coking,0
france,2003,coal,coal-lignite,0
france,2003,coal,coal-subbit,0
france,2003,otherren,or-geo,0
france,2003,otherren,or-tidal,0.4904
france,2004,bio,bio-solid,1.128
france,2004,coal,coal-anthr,0
france,2004,coal,coal-bitum,24.372
france,2004,coal,coal-coking,0
france,2004,coal,coal-lignite,0
france,2004,coal,coal-subbit,0
france,2004,otherren,or-geo,0
france,2004,otherren,or-tidal,0.4702
france,2005,bio,bio-solid,1.254
france,2005,coal,coal-anthr,0
france,2005,coal,coal-bitum,27.515
france,2005,coal,coal-coking,0
france,2005,coal,coal-lignite,0
france,2005,coal,coal-subbit,0
